"taxon_a"	"taxon_b"	"family"	"age"	"distance"	"qtaxid"	"staxid"	"N"
"176"	"Sorghum bicolor"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"38.0"	0.560658190512072	"4558"	"112509"	32593
"177"	"Sorghum bicolor"	"Oryza brachyantha"	"Poaceae"	"38.0"	0.525851717158689	"4558"	"4533"	32727
"178"	"Sorghum bicolor"	"Oryza glaberrima"	"Poaceae"	"38.0"	0.541268160365809	"4558"	"4538"	32709
"179"	"Sorghum bicolor"	"Oryza sativa Indica Group"	"Poaceae"	"38.0"	0.52300983215355	"4558"	"39946"	32705
"180"	"Sorghum bicolor"	"Oryza sativa Japonica Group"	"Poaceae"	"38.0"	0.507097240601797	"4558"	"39947"	32623
"181"	"Sorghum bicolor"	"Triticum aestivum"	"Poaceae"	"38.0"	0.533441248625956	"4558"	"4565"	32650
"182"	"Sorghum bicolor"	"Triticum urartu"	"Poaceae"	"38.0"	0.594940301557992	"4558"	"4572"	32744
"183"	"Sorghum bicolor"	"Zea mays"	"Poaceae"	"8.9"	0.408519599285584	"4558"	"4577"	32687
"184"	"Brachypodium distachyon"	"Oryza brachyantha"	"Poaceae"	"41.5"	0.437009508121677	"15368"	"4533"	29906
"185"	"Brachypodium distachyon"	"Oryza glaberrima"	"Poaceae"	"41.5"	0.461204348843278	"15368"	"4538"	29893
"186"	"Brachypodium distachyon"	"Oryza sativa Indica Group"	"Poaceae"	"41.5"	0.440840121116296	"15368"	"39946"	29904
"187"	"Brachypodium distachyon"	"Oryza sativa Japonica Group"	"Poaceae"	"41.5"	0.431466111764234	"15368"	"39947"	29871
"188"	"Brachypodium distachyon"	"Setaria italica"	"Poaceae"	"38.0"	0.445413504211222	"15368"	"4555"	29896
"189"	"Brachypodium distachyon"	"Sorghum bicolor"	"Poaceae"	"38.0"	0.483201856646551	"15368"	"4558"	29904
"190"	"Brachypodium distachyon"	"Zea mays"	"Poaceae"	"38.0"	0.4785584282776	"15368"	"4577"	29873
"191"	"Oryza sativa Indica Group"	"Brachypodium distachyon"	"Poaceae"	"41.5"	0.557279115137926	"39946"	"15368"	37317
"192"	"Oryza sativa Indica Group"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"41.5"	0.575482954368939	"39946"	"112509"	37118
"193"	"Oryza sativa Indica Group"	"Oryza brachyantha"	"Poaceae"	"15.0"	0.422148102308731	"39946"	"4533"	37338
"194"	"Oryza sativa Indica Group"	"Oryza glaberrima"	"Poaceae"	"0.6"	0.215894187443695	"39946"	"4538"	37347
"195"	"Oryza sativa Indica Group"	"Setaria italica"	"Poaceae"	"38.0"	0.543138033502743	"39946"	"4555"	37299
"196"	"Oryza sativa Indica Group"	"Sorghum bicolor"	"Poaceae"	"38.0"	0.57322745035223	"39946"	"4558"	37326
"197"	"Oryza sativa Indica Group"	"Triticum aestivum"	"Poaceae"	"41.5"	0.551435785245422	"39946"	"4565"	37205
"198"	"Oryza sativa Indica Group"	"Triticum urartu"	"Poaceae"	"41.5"	0.613780975014302	"39946"	"4572"	37344
"199"	"Oryza sativa Indica Group"	"Zea mays"	"Poaceae"	"38.0"	0.583615582352717	"39946"	"4577"	37251
"200"	"Triticum aestivum"	"Hordeum vulgare subsp. vulgare"	"Poaceae"	"12.2"	0.208120426927686	"4565"	"112509"	94260
"201"	"Triticum aestivum"	"Oryza brachyantha"	"Poaceae"	"41.5"	0.370132986284942	"4565"	"4533"	94403
"202"	"Triticum aestivum"	"Oryza glaberrima"	"Poaceae"	"41.5"	0.380846708939262	"4565"	"4538"	94389
"203"	"Triticum aestivum"	"Oryza sativa Indica Group"	"Poaceae"	"41.5"	0.359893407753816	"4565"	"39946"	94390
"204"	"Triticum aestivum"	"Oryza sativa Japonica Group"	"Poaceae"	"41.5"	0.342133885212036	"4565"	"39947"	94360
"205"	"Triticum aestivum"	"Setaria italica"	"Poaceae"	"38.0"	0.36013908937639	"4565"	"4555"	94403
"206"	"Triticum aestivum"	"Sorghum bicolor"	"Poaceae"	"38.0"	0.389225771868113	"4565"	"4558"	94391
"207"	"Triticum aestivum"	"Zea mays"	"Poaceae"	"38.0"	0.389484661313321	"4565"	"4577"	94331
"208"	"Hordeum vulgare subsp. vulgare"	"Oryza brachyantha"	"Poaceae"	"41.5"	0.401237809627204	"112509"	"4533"	52246
